CUST_CODE,TOTAL_SPEND,AVG_MONTHLY_SPEND,STD_MONTHLY_SPEND,TOTAL_VISIT,AVG_MONTHLY_VISIT,STD_MONTHLY_VISIT,MODE_BASKET_SIZE,CUST_LIFETIME,DURATION_FROM_FIRST_PURCHASE,DURATION_FROM_LAST_PURCHASE
CUST0000000181,2.44,2.44,0.0,1,1.0,0.0,1,0,547,547
CUST0000000369,26861.239999999481,34.261785714285644,20.446127655302835,220,7.8571428571428292,3.3881546358947,2,811,812,1
CUST0000000689,2957.1299999999906,36.507777777777811,36.1129640550247,16,1.7777777777777757,1.2272623352430283,3,337,350,13
CUST0000000998,11.900000000000002,2.9750000000000005,2.1350000000000002,3,1.5,0.5,1,64,794,730
CUST0000001163,158.96000000000012,9.9349999999999987,9.54613403425701,4,1.0,0.0,3,609,623,14
CUST0000001194,67333.409999999858,92.364074074073926,50.744659289080609,103,3.8148148148148131,1.8061015318869011,3,790,806,16
CUST0000002257,1.99,1.99,0.0,1,1.0,0.0,1,0,716,716
CUST0000002499,0.34,0.34,0.0,1,1.0,0.0,1,0,814,814
CUST0000002605,9.0,0.3600000000000001,0.12,6,1.2000000000000004,0.4,1,613,637,24
CUST0000002637,1370.9299999999971,11.330000000000007,5.2844798488334925,15,1.3636363636363633,0.64282434653322484,3,666,703,37
CUST0000002638,15.59,15.59,0.0,1,1.0,0.0,2,0,449,449
CUST0000002813,1305.179999999998,16.11333333333333,7.6367648764236389,12,1.3333333333333324,0.47140452079103173,3,256,341,85
CUST0000003028,42.440000000000005,2.652499999999999,1.9323479888467292,6,1.5,0.5,1,110,294,184
CUST0000003044,32.169999999999995,32.169999999999995,0.0,2,2.0,0.0,3,11,540,529
CUST0000003252,7.66,1.915,0.665,2,1.0,0.0,1,176,269,93
CUST0000003287,2540.9999999999964,25.41000000000005,15.761832380786196,13,1.3000000000000036,0.45825756949558377,3,739,796,57
CUST0000003323,12.62,3.1550000000000002,2.505,2,1.0,0.0,2,240,552,312
CUST0000003667,6.9799999999999995,6.9799999999999995,0.0,1,1.0,0.0,1,0,542,542
CUST0000004088,24308.099999999802,33.344444444444505,19.366770765322276,82,3.0370370370370408,1.6883364918579968,3,808,815,7
CUST0000004507,2.35,2.35,0.0,1,1.0,0.0,1,0,385,385
CUST0000004781,6.72,6.72,0.0,1,1.0,0.0,2,0,255,255
